zon_id,lon,lat
Z0390,20.246323631578946,60.11726289473684
Z0391,20.2551475,60.117192
Z0392,20.26416255,60.117192
Z0393,20.270340428571426,60.116999571428565
Z0394,20.285809,60.117641
Z0395,20.29120765,60.117192
Z0396,20.3002227,60.117192
Z0397,20.306399714285714,60.116999571428565
Z0398,19.851315222222222,60.1216835
Z0399,19.858528200000002,60.1216835
Z0400,19.86734967857143,60.121523107142856
Z0401,19.875849777777777,60.120735333333336
Z0402,19.8833934,60.11979720000001
Z0403,19.898215,60.123031
Z0404,19.903959884615386,60.12199442307693
Z0405,19.912626,60.1216835
Z0406,19.921642333333335,60.1216835
Z0407,19.930658633333334,60.1216835
Z0408,19.9396749,60.1216835
Z0409,19.948691166666666,60.1216835
Z0410,19.957707533333334,60.1216835
Z0411,19.966723766666668,60.1216835
Z0412,19.97545712,60.12209668
Z0413,19.98530835,60.12249195
Z0414,19.993581678571427,60.12184389285714
Z0415,20.002495120000003,60.12130624
Z0416,20.01143235,60.12083015
Z0417,20.0171885,60.119887000000006
Z0418,20.240126125,60.1208975
Z0419,20.246229033333336,60.1216835
Z0420,20.255245366666667,60.1216835
Z0421,20.264261666666666,60.1216835
Z0422,20.270487222222222,60.12233222222223
Z0423,20.29181611764706,60.12060029411765
Z0424,20.300002055555556,60.1206355
Z0425,20.3056945,60.119887000000006
Z0426,19.840848666666666,60.127373166666665
Z0427,19.850275,60.126085599999996
Z0428,19.858824642857144,60.12566185714286
Z0429,19.864573333333336,60.12512733333333
Z0430,19.898244000000002,60.12572600000001
Z0431,19.9036598,60.126175249999996
Z0432,19.9126772,60.126175249999996
Z0433,19.9216947,60.126175249999996
Z0434,19.9307123,60.126175249999996
Z0435,19.9397297,60.126175249999996
Z0436,19.9487473,60.126175249999996
Z0437,19.955955699999997,60.125726099999994
Z0438,19.966971315789475,60.126104315789476
Z0439,19.97579985,60.126175249999996
Z0440,19.98481745,60.126175249999996
Z0441,19.99383495,60.126175249999996
Z0442,20.000015714285716,60.12598271428572
Z0443,20.2471985,60.124828
Z0444,20.2561286875,60.1260068125
Z0445,20.26436085,60.126175249999996
Z0446,20.270478599999997,60.1255464
Z0447,19.83434890909091,60.13087081818182
Z0448,19.840578333333333,60.13066666666667
Z0449,19.848771875,60.130816374999995
Z0450,19.905385333333335,60.129978
Z0451,19.91272843333333,60.13066666666667
Z0452,19.921747166666666,60.13066666666667
Z0453,19.93076596666667,60.13066666666667
Z0454,19.9397847,60.13066666666667
Z0455,19.948014086956523,60.13025660869566
Z0456,19.968627142857144,60.12931914285714
Z0457,19.975670789473682,60.13073742105263
Z0458,19.985076777777778,60.130516777777785
Z0459,19.993470777777777,60.12882011111112
Z0460,19.999277,60.128421
Z0461,20.258098,60.128421
Z0462,20.265223142857142,60.13021742857143
Z0463,20.273519,60.132462999999994
Z0464,20.279843,60.132912
Z0465,19.83307225,60.135888125
Z0466,19.84062388,60.1356074
Z0467,19.848262764705883,60.13544888235294
Z0468,19.907352,60.133811
Z0469,19.91318923076923,60.13457084615384
Z0470,19.920787444444443,60.13430988888889
Z0471,19.931511238095236,60.135521857142855
Z0472,19.939845000000002,60.1356074
Z0473,19.94706113333333,60.1356074
Z0474,19.968989615384615,60.13581469230769
Z0475,19.97592576,60.1356074
Z0476,19.98390247368421,60.13570194736842
Z0477,20.2313982,60.1366854
Z0478,20.237660875,60.13568225
Z0479,20.244993714285716,60.13612071428571
Z0480,20.265615526315788,60.13570194736842
Z0481,20.27358916,60.1356074
Z0482,20.28067942857143,60.135735714285715
Z0483,19.8068405,60.1407725
Z0484,19.813452666666667,60.1403235
Z0485,19.819620666666665,60.14069766666666
Z0486,19.83329175,60.13942516666666
Z0487,19.84066105,60.139649750000004
Z0488,19.8475155,60.139470100000004
Z0489,19.93289625,60.139088375
Z0490,19.9398945,60.139649750000004
Z0491,19.946501,60.13890116666667
Z0492,19.961557,60.140547999999995
Z0493,19.96714905263158,60.13972068421052
Z0494,19.9759794,60.139649750000004
Z0495,19.983609384615384,60.139407923076924
Z0496,20.230735,60.139470100000004
Z0497,20.237594899999998,60.139649750000004
Z0498,20.245714,60.139649750000004
Z0499,20.266453,60.1392006
Z0500,20.27367975,60.139649750000004
Z0501,20.28027833333333,60.13890116666667
Z0502,19.805633391304347,60.14423895652175
Z0503,19.8136351,60.14414133333333
Z0504,19.820748000000002,60.1442734117647
Z0505,19.835269,60.141896
Z0506,19.8406818,60.141895999999996
Z0507,19.846095,60.141896
Z0508,19.942170333333333,60.14538888888889
Z0509,19.94897952173913,60.14474660869565
Z0510,19.95774557142857,60.14484707142857
Z0511,19.967140310344828,60.14406389655172
Z0512,19.97603923333333,60.14414133333333
Z0513,19.9838122,60.145129499999996
Z0514,19.990506,60.146387
Z0515,20.231634666666668,60.14219533333334
Z0516,20.237918142857144,60.14272985714286
Z0517,20.2442715,60.142494666666664
Z0518,19.788926714285715,60.14921028571428
Z0519,19.7956254,60.148632750000004
Z0520,19.8042874,60.14854293333333
Z0521,19.813669066666666,60.14818366666667
Z0522,19.819679333333333,60.14758466666666
Z0523,19.860827,60.14919425
Z0524,19.8678149,60.148632750000004
Z0525,19.874636555555558,60.14898211111111
Z0526,19.941809250000002,60.14863275
Z0527,19.9490282,60.148632750000004
Z0528,19.956967799999997,60.14854293333333
Z0529,19.969765,60.147285
Z0530,19.97713057142857,60.14863271428572
